dataset,reader,K,condition,score_display,std_display,nrr_display,source,provenance_class
FeTaQA,claude-haiku-4-5,1,soft,0.886,0.008,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,1,bge_m3,0.396,0.004,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,5,hard,0.725,0.009,0.819,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,5,soft,0.830,0.007,0.936,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,5,bge_m3,0.483,0.004,1.222,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,10,hard,0.676,0.005,0.763,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,10,soft,0.788,0.002,0.889,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,10,bge_m3,0.497,0.004,1.257,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,20,hard,0.650,0.004,0.734,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,20,soft,0.747,0.007,0.843,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,20,bge_m3,0.533,0.003,1.349,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,30,hard,0.640,0.016,0.722,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,30,soft,0.737,0.014,0.831,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,30,bge_m3,0.535,0.013,1.354,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,40,hard,0.638,0.026,0.720,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
